PEM. CENGKERING,PEMATANG CENGKERING
TANGSEL,TANGERANG SELATAN
TANGERAMG,TANGERANG
TAM,TAMBOLAKA
TAB,TABANAN
T ABANG,TANAH ABANG
T NYAK ARIEF,TEUKU NYAK ARIEF
T UMAR,TEUKU UMAR
SWW,SUWAWA
SWL,SAWAHLUNTO
SUS,SUBULUSSALAM
SUMSEL,SUMATERA SELATAN
SUMUT,SUMATERA UTARA
SUMBER SEKAR,SUMEBRSEKAR
SUMBER GONDO,SUMBERGONDO
SUMBAR,SUMATERA BARAT
SUMATRA,SUMATERA
SULUT,SULAWESI UTARA
SULTRA,SULAWESI TENGGARA
SULTENG,SULAWESI TENGAH
SULSEL,SULAWESI SELATAN
SULSEL,SUMATERA SELATAN
SUL-BAR,SULAWESI BARAT
SULBAR,SULAWESI BARAT
SUBULUS SALAM,SUBULUSSALAM
STR,SIMPANG TIGA REDELONG
STG,SINTANG
STB,STABAT
SRY,SUNGAI RAYA
SRW,SORENDIWERI
SRU,SERUI
SRP,SEMARAPURA
SRL,SAROLANGUN
SRK,SARILAMAK
SRH,SEI RAMPAH
SRG,SERANG
SPT,SAMPIT
SPN,SUNGAI PENUH
SPG,SAMPANG
SPE,SIMPANG EMPAT
SPA,SINGAPARNA
SOR,SOREANG
SON,SORONG
SOE,SOE
SNT,SENGETI
SNN,SANANA
SNJ,SINJAI
SNG,SUBANG
SNB,SINABANG
SMNYK,SEMINYAK
SMR,SAMARINDA
SMN,SLEMAN
SML,SAUMLAKI
SMI,SARMI
SMH,SUMOHAI
SMG,SEMARANG
SMD,SUMEDANG
SLW,SLAWI
SLTN,SELATAN 
SLT,SALATIGA
SLK,SOLOK
SKY,SEKAYU
SKW,SINGKAWANG
SKT,SURAKARTA
SKR,SUKAMARA
SKN,SALAKAN
SKM,SUKA MAKMUE
SKL,SINGKIL
SKH,SUKOHARJO
SKG,SENGKANG
SKD,SUKADANE
SKB,SUKABUMI
SIT,SITUBONDO
SINDANG KERTA,SINDANGKERTA
SIMPANG KWALA,KUALA SIMPANG
SIMPANG TIGA,SIMPANGTIGA
SIGLI,KOTA SIGLI
SGT,SANGGATTA
SGR,SINGARAJA
SGP,SUGAPA
SGN,SRAGEN
SGM,SUNGGUMINASA
SGL,SUNGAI LIAT
SGI,SIGLI
SGB,SIGI BIROMARU
SETUI,SEUTUI
SED,SEKADAU
SDW,SENDAWAR
SDR,SIDENRENG
SDK,SIDIKALANG
SDA,SIDOARJO
SBY,SURABAYA
SBW,SUMBAWA BESAR
SBS,SAMBAS
SBR,SUMBER
SBM,SUKABUMI
SBH,SIBUHUAN
SBG,SIBOLGA
SBB,SABU BARAT
SAL,SALAK
SAK,SIAK SRIINDRAPURA
SAG,SANGGAU
SAB,SABANG
RY,RAYA
RTP,RANTEPAO
RTN,RATAHAN
RTG,RUTENG
RTA,RANTAU
RMB,RUMBIA
RKB,RANGKAS BITUNG
RGT,RENGAT
RBG,REMBANG
RAWA LUMBU,RAWALUMBU
RAS,RASIEI
RAP,RANTAU PRAPAT
RANGKAS BITUNG,RANGKASBITUNG
RAN,RANAI
RAH,RAHA
PYH,PAYAKUMBUH
PYB,PANYABUNGAN
PYA,PRAYA
PWT,PURWOKERTO
PWR,PURWOREJO
PWK,PURWAKARTA
PWD,PURWODADI
PTS,PUTUSSIBAU
PTK,PONTIANAK
PTI,PATI
PSW,PASAR WAJO
PSR,PASAR
PSP,PADANG SIDEMPUAN
PSO,POSO
PSN,PASURUAN
PSAR,PASAR
PSR,PASAR
PS,PASAR
PRW,PRINGSEWU
PRR,PANGURU RAN
PRP,PASIR PENGARAIRAN
PRO COT,PROCOT
PRN,PARINGIN
PRG,PARIGI
PRE,PARE PARE
PRC,PURUK CAHU
PPS,PULANG PISAU
PNN,PAINAN
PNJ,PENAJAM
PNG,PONOROGO
PMS,PEMATANGSIANTAR
PMN,PARIAMAN
PML,PEMALANG
PMK,PAMEKASAN
PLW,POLEWALI
PLP,PALOPO
PLK,PALANGKARAYA
PLJ,PULAU PUNJUNG
PLI,PELAIHARI
PLG,PELEMBANG
PKY,PASANGKAYU
PKL,PEKALONGAN
PKK,PANGKALAN KERINCI
PKJ,PANGKAJENE
PKB,PANGKALAN BALAI
PIN,PINRANG
PIDIE JAY,PIDIE JAYA
PGP,PANGKAL PINANG
PGA,PAGAR ALAM
PEMECUTAN KELOD,PEMECUTAN KLOD
PDP,PADANG PANJANG
PDK,PONDOK
PDG,PANDEGLANG
PDA,PADANG ARO
PNDK KCNG,PONDOK KACANG TIMUR
PD KACANG BARAT,PONDOK KACANG BARAT
PD JAGUNG,PONDOK JAGUNG
PD AREN,PONDOK AREN
PCT,PACITAN
PBU,PANGKALAN BUN
PBR,PEKANBARU
PBM,PRABUMULIH
PBL,PROBOLINGGO
PBG,PURBALINGGA
PASAR REBO,PASARREBO
PANTE RIEK,PANTERIEK
PAL,PALU
PAGAR AIR,MEUNASAH MANYANG PAGAR AIR
PADANGSAMBIAN KELOD,PADANGSAMBIAN KLOD
PADANG SAMBIAN,PADANGSAMBIAN
PADANG BAY,PADANGBAI
PADANG BAI,PADANGBAI
PADA MULYA,PADAMULYA
PAD,PADANG
PANTON LABU,KOTA PANTON LABU
PERCUT SEI TUA,PERCUT SEI TUAN
PEMATANG SIANTAR,PEMATANGSIANTAR
P SIANTAR,PEMATANGSIANTAR
OSB,OKSIBIL
ODS,ONDONG SIAU
NTT,NUSA TENGGARA TIMUR
NTB,NUSA TENGGARA BARAT
NPM,NAGARI PARIT MALINTANG
NPH,NGAMPRAH
NNK,NUNUKAN
NMR,NAMROLE
NLA,NAMLEA
NJK,NGANJUK
NGW,NGAWI
NGP,NANGA PINOH
NGB,NANGA BULIK
NGA,NEGARA
NBA,NGABANG
NAB,NABIRE
MUL,MULIA
MTW,MUARA TEWEH
MTS,MOROTAI SELATAN
MTR,MATARAM
MTP,MARTAPURA
MTK,MENTOK
MSK,MUARA SABAK
MSJ,MESUJI
MSH,MASOHI
MSB,MASAMBA
MRT,MUARA TEBO
MRS,MAROS
MRN,MEUREUNDU
MRK,MERAUKE
MRJ,MUARO SIJUNJUNG
MRH,MARABAHAN
MRE,MUARA ENIM
MRD,MUARADUA
MRB,MUARA BUNGO
MPW,MEMPAWAH
MPR,MARTAPURA
MNK,MANOKWARI
MND,MANADO
MNA,MANNA
MMS,MAMASA
MME,MAUMERE
MLN,MALINAU
MLL,MALILI
MLK,MALUKU
MLG,MALANG
MKS,MAKASSAR
MKM,MUKOMUKO
MKD,MUNGKID
MJY,MEJAYAN
MJN,MAJENE
MJL,MAJALENGKA
MJK,MOJOKERTO
MGW,MENGWI
MGT,MAGETAN
MGR,MANGGAR
MGN,MELONGGUANE
MGL,MAGELANG
MGA,MENGGALA
MET,METRO
MERTA SARI,MERTASARI
MEDAN,KOTA MEDAN
MDN,MEDAN
MBY,MBAY
MBO,MEULABOH
MBN,MUARA BULIAN
MBL,MUARABELITI
MARGA ASIH,MARGAASIH
MAR,MARISA
MANGGUNG HARJA,MANGGUNGHARJA
MAM,MAMUJU
MAK,MAKALE
MAD,MADIUN
MAB,MABA
LWL,LEWOLEBA
LWK,LUWUK
LTU,LOTU
LSS,LASUSUA
LSM,LHOKSEUMAWE
LSK,LHOKSUKON
LRT,LARANTUKA
LPG,LAMPUNG
LMP,LIMA PULUH
LMJG,LUMAJANG
LMJ,LUMAJANG
LMG,LAMONGAN
LLG,LUBUK LINGGAU
LIW,LIWA
LHT,LAHAT
LHOONG RAYA,LHONG RAYA
LHM,LAHOMI
LGS,LANGSA
LEUNG BATA,LUENG BATA
LBS,LUBUK SIKAPING
LBP,LUBUK PAKAM
LBJ,LABUAN BAJO
LBB,LUBUK BASUNG
LBA,LABUHA
LAMPENEURUT,LAMPEUNEURUT GAMPONG
LABUHAN BATU,LABUHANBATU
KYM,KENYAM
KYB,KEBAYORAN BARU
KWG,KARAWANG
KWD,KWANDANG
KTP,KETAPANG
KTN,KUTACANE
KTK,TIDORE
KTG,KOTAMOBAGU
KTG,KOTAMUBAGU
KTB,KOTABUMI
KSU,KEPULAUAN SERIBU UTARA
KSN,KASONGAN
KRT,KARANG TINGGI
KRS,KRAKSAAN
KRUENG SABE,KRUENG SABEE
KRG,KARANGANYAR
KRBKAN,KEROBOKAN
KRB,KARANG BARU
KRAMAT WATU,KRAMATWATU
KRANGGAN HARJO,KRANGGANHARJO
KRA,KARANGASEM
KPN,KEPANJEN
KPI,KOTA PINANG
KPH,KEPAHIANG
KPG,KUPANG
KABUPATEN, 
KOTA, 
KEL, 
KEC, 
KAB, 
KP SAWAH,KAMPUNG SAWAH
KP,KAMPUNG
KOTA BAWAH DARAT,KOTA BAWAH BARAT
KOT,KOTA AGUNG
KODYA PROBOLINGGO,KOTA PROBOLINGGO
KNR,KANIGORO
KNG,KUNINGAN
KMP BALI,KAMPUNG BALI
KMN,KAIMANA
KLT,KUALA TUNGKAL
KLN,KLATEN
KLK,KUALA KAPUAS
KLB,KALABAHI
KLA,KALIANDA
KKN,KUALA KURUN
KKA,KOLAKA
KJN,KAJEN
KIS,KISARAN
KGN,KANDANGAN
KGM,KIGAMANI
KFM,KEFAMENANU
KEURAMAT DALAM,KRAMAT DALAM
KEUDE PEUNTUT,KEUDE PUNTEUT
KESIMAN KERTALANGGU,KESIMAN KERTALANGU
KERTA MULYA,KERTAMULYA
KERAMAT DALAM,KRAMAT DALAM
KELAPA GADI,KELAPA GADING
KEDUNG WINONG,KEDUNGWINONG
KEDUNG TURI,KEDUNGTURI
KEDUNG KANDANG,KEDUNGKANDANG
KEDUNG GEBANG,KEDUNGGEBANG
KEDUNG AMPEL,KEDUNGAMPEL
KEB,KEBAYORAN
KDS,KUDUS
KDR,KEDIRI
KDL,KENDAL
KDI,KENDARI
KBR,KOTABARU
KBM,KEBUMEN
KBK,KOBAKMA
KBJ,KABANJAHE
KBG,KARUBAGA
KBA,KOBA
KB SIRIH,KEBON SIRIH
KB KACANG,KEBON KACANG
KB,KEBON
KHAJU,KAJHU
KARANG LEWAS,KARANGLEWAS
KAMP,KAMPUNG
KALTIM,KALIMANTAN TIMUR
KAL-TENG,KALIMANTAN TENGAH
KALTENG,KALIMANTAN TENGAH
KALSEL,KALIMANTAN SELATAN
KALI DERES,KALIDERES
KALIKEDINDING,KALI KEDINDING
KALBAR,KALIMANTAN BARAT
KAG,KAYU AGUNG
KADU HEJO,KADUHEJO
KABAN JAHE,KABANJAHE
JURANG MANGU,JURANGMANGU
JTH,JANTHO
JPA,JEPARA
JNP,JENEPONTO
JMR,JEMBER
JMB,JOMBANG
JLL,JAILOLO
JKT,JAKARTA
JEULINGK,JEULINGKE
JBG,JOMBANG
JAYA GIRI,JAYAGIRI
JATIM,JAWA TIMUR
JATI UWUNG,JATIUWUNG
JATI LUHUR,JATILUHUR
JATENG,JAWA TENGAH
JAP,JAYAPURA
JAKUT,JAKARTA UTARA
JAK-TIM,JAKARTA TIMUR
JAKTIM,JAKARTA TIMUR
JAKSEL,JAKARTA SELATAN
JAKBAR,JAKARTA BARAT
JAKARTA,DKI JAKARTA
JABAR,JAWA BARAT
ILG,ILAGA
IDM,INDRAMAYU
IDL,INDRALAYA
GTO,GORONTALO
GST,GUNUNGSITOLI
GSK,GRESIK
GRT,GARUT
GROGOL PETAMBURAN,GROGOLPETAMBURAN
GRG,GERUNG
GNT,GUNUNG TUA
GNS,GUNUNG SUGIH
GIN,GIANYAR
GGP,GROGOL PETAMBURAN
GDT,GEDONG TATAAN
GADO BANGKONG,GADOBANGKONG
FFK,FAK FAK
FEF,FEF
ERT,ENAROTALI
ENR,ENREKANG
END,ENDE
EMPE TUNONG,EMPEE TANONG
ELL,ELELIM
DUM,DUMAI
DUKUH TURI,DUKUHTURI
DTH,DATARAN HUNIMOA
DRH,DATARAN HUNIPOPU
DPU,DOMPU
DPS,DENPASAR
DPR,DENPASAR
DPK,DEPOK
DOB,DOBO
DMK,DEMAK
DLS,DOLOK SANGGUL
DKL,DAIK LINGGA
DIY,DAERAH ISTIMEWA YOGYAKARTA
DGL,DONGGALA
DENBAR,DENPASAR BARAT
DEAH GLUMPA,DEAH GLUMPANG
DAYEUH KOLOT,DAYEUHKOLOT
DAUH WARU,DAUHWARU
DANGIN PURI KELOD,DANGIN PURI KLOD
CRP,CURUP
CPT,CIPUTAT
COT BUL,COT BULOH
CNGGU,CANGGU
CMS,CIAMIS
CMH,CIMAHI
CLP,CILACAP
CLG,CILEGON
CKR,CIKARANG
CKG,CAKUNG
CJR,CIANJUR
CI CAYUR,CICAYUR
CI BADAK,CIBADAK
CBN,CIREBON
CBI,CIBINONG
CAG,CALANG
BYW,BANYUWANGI
BYL,BOYOLALI
BTW,BOTAWA
BTU,BATU
BTM,BATAM
BTL,BANTUL
BTI,BINTUNI
BTG,BATANG
BTA,BATURAJA
BSK,BATUSANGKAR
BSB,BANDAR SERI BENTAN
BRT,BARAT
BRM,BURMESO
BRK,BOROKO
BRG,BORONG
BRB,BARABAI
BRASTAGI,BERASTAGI
BPP,BALIKPAPAN
BPD,BLANGPIDIE
BON,BONTANG
BOJONG SOANG,BOJONGSOANG
BOJONG PICUNG,BOJONGPICUNG
BOJONG LOA,BOJONGLOA
BNT,BUNTOK
BNR,BANJARNEGARA
BNJ,BINJAI
BNG,BURANGA
BNA,BANDA ACEH
BMS,BANYUMAS
BLU,BOLAANG UKI
BLT,BLITAR
BLS,BENGKALIS
BLN,BATULICIN
BLI,BANGLI
BLG,BALIGE
BLANG PIDIE,BLANGPIDIE
BLANG BI,BLANG BINTANG
BLANG MANG AT,BLANG MANGAT
BLA,BLORA
BKT,BUKITTINGGI
BKO,BANGKO
BKN,BANGKINANG
BKL,BANGKALAN
BKJ,BLANGKEJEREN
BJW,BAJAWA
BJR,BANJAR
BJN,BOJONEGORO
BJM,BANJARMASIN
BJB,BANJARBARU
BIT,BITUNG
BIREUN,BIREUEN
BIR,BIREUEN
BINJAI,KOTA BINJAI
BIM,BIMA
BIK,BIAK
BHN,BINTUHAN
BGR,BOGOR
BGL,BENGKULU
BGK,BUNGKU
BEN,BENTENG
BEK,BENGKAYANG
BDW,BONDOWOSO
BDL,BANDAR LAMPUNG
BDG,BANDUNG
BBU,BLAMBANGAN UMPU
BBS,BREBES
BATU CEPER,BATUCEPER
BATU BULAN,BATUBULAN
BANDARA SIM,BANDARA SULTAN ISKANDAR MUDA
BANDA-ACEH,BANDA ACEH
BAN,BANTAENG
BALE ENDAH,BALEENDAH
BAITURRAHM,BAITURRAHMAN
BABEL,BANGKA BELITUNG
BAA,BAA
B ACEH,BANDA ACEH
ATEUK MEUNJENG,ATEUK MUNJENG
ATEUEK PAHLAWAN,ATEUK PAHLAWAN
ATB,ATAMBUA
ASTANA ANYAR,ASTANAANYAR
ARS,AROSUKA
ARM,AIR MADIDI
APN,AMPANA
AMT,AMUNTAI
AMS,AIMAS
AMR,AMURANG
AMPING PARAK,AMPINGPARAK
AMB,AMBON
AKK,AEK KANOPAN
AGT,AGATS
AGM,ARGA MAKMUR
AFT,AIFAT
ADL,ANDOOLO
ADL,ANDOOLO
A YANI,AHMAD YANI
